,usageclass,checkouttype,materialtype,checkoutyear,checkoutmonth,checkouts,title,isbn,creator,subjects,publisher,publicationyear
9396,Digital,OverDrive,EBOOK,2018,1,1,The Inventor and the Tycoon: A Gilded Age Murder and the Birth of Moving Pictures,,Edward Ball,"Biography & Autobiography, History, Nonfiction, True Crime","Random House, Inc.",2013
9398,Digital,OverDrive,EBOOK,2018,1,1,Eminent Hipsters,,Donald Fagen,"Biography & Autobiography, Music, Nonfiction, Performing Arts","Penguin Group (USA), Inc.",2013
9412,Digital,OverDrive,EBOOK,2018,1,3,"Organizing from the Inside Out: The Foolproof System For Organizing Your Home, Your Office and Your Life",,Julie Morgenstern,"Home Design & Décor, Nonfiction",Macmillan Publishers,2013
9417,Digital,OverDrive,EBOOK,2018,1,1,"More Beer: Kayankaya Mystery Series, Book 2",,Jakob Arjouni,"Fiction, Mystery","Random House, Inc.",2013
9438,Digital,OverDrive,EBOOK,2018,1,3,"The Naughty Corner: The Naughty Corner Series, Book 1",,Jasmine Haynes,"Erotic Literature, Fiction, Romance","Penguin Group (USA), Inc.",2013
9446,Digital,OverDrive,EBOOK,2018,1,1,"Sweetheart: Archie Sheridan & Gretchen Lowell Series, Book 2",,Chelsea Cain,"Fiction, Mystery, Suspense, Thriller",Macmillan Publishers,2013
9455,Digital,OverDrive,EBOOK,2018,1,4,"Cherished: Delicious Series, Book 1",,Maya Banks,"Erotic Literature, Fiction, Romance","Penguin Group (USA), Inc.",2013
9468,Digital,OverDrive,EBOOK,2018,1,1,Killer Takes All,,Erica  Spindler,"Fiction, Thriller, Thriller","Harlequin Enterprises, Ltd.",2013
9517,Digital,OverDrive,EBOOK,2018,1,1,The Book of Blood: From Legends and Leeches to Vampires and Veins,,HP Newquist,"Nonfiction, Science",Houghton Mifflin Harcourt Trade and Reference,2013
9561,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Capacity for Murder: Professor Bradshaw Mystery Series, Book 3 (unabridged) (Unabridged)",,Bernadette Pajer,"Fiction, Mystery","Blackstone Audio, Inc.",2013
9668,Digital,OverDrive,AUDIOBOOK,2018,1,1,"Black Ice: Young Sherlock Holmes Series, Book 3 (unabridged) (Unabridged)",,Andrew Lane,"Historical Fiction, Mystery, Young Adult Fiction, Young Adult Literature",Macmillan Audio,2013
9669,Digital,OverDrive,EBOOK,2018,1,1,"The Silence: Nell West and Michael Flint Series, Book 3",,Sarah Rayne,"Fiction, Horror",Severn House Publishers Ltd,2013
9675,Digital,OverDrive,EBOOK,2018,1,1,"An Unfinished Life: John F. Kennedy, 1917 - 1963",,Robert Dallek,"Biography & Autobiography, Nonfiction","Hachette Digital, Inc.",2013
9705,Digital,OverDrive,AUDIOBOOK,2018,1,2,"Silentium: Halo: Forerunner Saga, Book 3 (unabridged) (Unabridged)",,Greg Bear,"Fiction, Literature, Science Fiction",Macmillan Audio,2013
9716,Digital,OverDrive,EBOOK,2018,1,1,Mission to Mars: My Vision for Space Exploration,,Buzz Aldrin,"Nonfiction, Science, Technology","Random House, Inc.",2013
9745,Digital,OverDrive,EBOOK,2018,1,1,"The Cat Who Sniffed Glue: The Cat Who Series, Book 8",,Lilian Jackson Braun,"Fiction, Mystery","Penguin Group (USA), Inc.",2013
9750,Digital,OverDrive,EBOOK,2018,1,1,"Betrayal: Dismas Hardy Series, Book 12",,John Lescroart,"Fiction, Thriller","Penguin Group (USA), Inc.",2013
9809,Digital,OverDrive,EBOOK,2018,1,1,"Blood Trust: Jack McClure Series, Book 3",,Eric Van Lustbader,"Fiction, Thriller",Macmillan Publishers,2013
9821,Digital,OverDrive,EBOOK,2018,1,2,"A Beautiful Mess Photo Idea Book: 95 Inspiring Ideas for Photographing Your Friends, Your World, and Yourself",,Elsie Larson,"Crafts, Nonfiction, Photography","Random House, Inc.",2013
9839,Digital,OverDrive,EBOOK,2018,1,1,"Betrayed: The Vampire Journals Series, Book 3",,Morgan Rice,"Fantasy, Romance, Young Adult Fiction",Kobo Writing Life,2013
9861,Digital,OverDrive,EBOOK,2018,1,1,The Empress of Mars,,Kage Baker,"Fiction, Science Fiction",Macmillan Publishers,2013
9885,Digital,OverDrive,EBOOK,2018,1,1,"Cross: Jack Taylor Series, Book 6",,Ken Bruen,"Fiction, Mystery",Macmillan Publishers,2013
9902,Digital,OverDrive,EBOOK,2018,1,1,Who Was Alexander Graham Bell?,,Bonnie Bader,"Biography & Autobiography, Juvenile Nonfiction","Penguin Group (USA), Inc.",2013
9928,Digital,OverDrive,EBOOK,2018,1,3,Unclean Jobs for Women and Girls,,Alissa Nutting,"Fiction, Short Stories",Lightning Source Inc,2013
